check	status	detail
P01 canonical support event table 11	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 11	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/11	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/11	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/11	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/12	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/12	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/12	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/12	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 12	PASS	frozen generator delegate
P01 canonical truth 12	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 12	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 12	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/12	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/12	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/12	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/13	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/13	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/13	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/13	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 13	PASS	frozen generator delegate
P01 canonical truth 13	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 13	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 13	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/13	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/13	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/13	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/14	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/14	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/14	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/14	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 14	PASS	frozen generator delegate
P01 canonical truth 14	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 14	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 14	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/14	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/14	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/14	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/15	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/15	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/15	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/15	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 15	PASS	frozen generator delegate
P01 canonical truth 15	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 15	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 15	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/15	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/15	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/15	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/16	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/16	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/16	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/16	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 16	PASS	frozen generator delegate
P01 canonical truth 16	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 16	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 16	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/16	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/16	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/16	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/17	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/17	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/17	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/17	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 17	PASS	frozen generator delegate
P01 canonical truth 17	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 17	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 17	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/17	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/17	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/17	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/18	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/18	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/18	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/18	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 18	PASS	frozen generator delegate
P01 canonical truth 18	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 18	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 18	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/18	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/18	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/18	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/19	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/19	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/19	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/19	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 19	PASS	frozen generator delegate
P01 canonical truth 19	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 19	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 19	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/19	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/19	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/19	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/20	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/20	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/20	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/20	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 20	PASS	frozen generator delegate
P01 canonical truth 20	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 20	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 20	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/20	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/20	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/20	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/21	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/21	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/21	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/21	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 21	PASS	frozen generator delegate
P01 canonical truth 21	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 21	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 21	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/21	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/21	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/21	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/22	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/22	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/22	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/22	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 22	PASS	frozen generator delegate
P01 canonical truth 22	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 22	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 22	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/22	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/22	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/22	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/23	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/23	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/23	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/23	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 23	PASS	frozen generator delegate
P01 canonical truth 23	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 23	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 23	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/23	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/23	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/23	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/24	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/24	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/24	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/24	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 24	PASS	frozen generator delegate
P01 canonical truth 24	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 24	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 24	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/24	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/24	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/24	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/25	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/25	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/25	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/25	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 25	PASS	frozen generator delegate
P01 canonical truth 25	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 25	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 25	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/25	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/25	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/25	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/26	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/26	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/26	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/26	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 26	PASS	frozen generator delegate
P01 canonical truth 26	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 26	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 26	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/26	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/26	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/26	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/27	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/27	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/27	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/27	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 27	PASS	frozen generator delegate
P01 canonical truth 27	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 27	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 27	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/27	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/27	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/27	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/28	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/28	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/28	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/28	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 28	PASS	frozen generator delegate
P01 canonical truth 28	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 28	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 28	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/28	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/28	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/28	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/29	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/29	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/29	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/29	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 29	PASS	frozen generator delegate
P01 canonical truth 29	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 29	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 29	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/29	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/29	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/29	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/30	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/30	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/30	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/30	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 30	PASS	frozen generator delegate
P01 canonical truth 30	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 30	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 30	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/30	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/30	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/30	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/31	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/31	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/31	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/31	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 31	PASS	frozen generator delegate
P01 canonical truth 31	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 31	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 31	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/31	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/31	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/31	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/32	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/32	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/32	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/32	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 32	PASS	frozen generator delegate
P01 canonical truth 32	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 32	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 32	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/32	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/32	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/32	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/33	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/33	PASS	cell id intentionally excluded from seed
